City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
122,Trincomalee,LK,81.48,few clouds,8.5711,81.2335,Welcombe Hotel
123,Rawson,AR,66.97,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
124,Carauari,BR,72.9,light rain,-4.8828,-66.8958,Hotel Fellip
125,Sao Filipe,CV,70.41,overcast clouds,14.8961,-24.4956,Hotel Xaguate
126,Makakilo City,US,73.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
127,Ponta Do Sol,PT,60.01,broken clouds,32.6667,-17.1,Hotel do Campo
128,Santa Rosa,PH,92.1,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
129,San Policarpo,PH,81.61,overcast clouds,12.1791,125.5072,Agapita M. Nicart
130,Santarem,BR,73.53,moderate rain,-2.4431,-54.7083,Ecotur Lodge
131,Takaka,NZ,75.97,few clouds,-40.85,172.8,Golden Bay Motels
132,Araouane,ML,64.47,scattered clouds,18.9048,-3.5265,
133,Itarema,BR,73.47,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
134,Nelson Bay,AU,87.76,clear sky,-32.7167,152.15,Mantra Nelson Bay
135,Am Timan,TD,64.44,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
136,Porto Walter,BR,74.41,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
137,Piacabucu,BR,78.01,light rain,-10.4056,-36.4344,Piaçabuçu News
138,Acapulco,MX,75.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
139,Balotra,IN,69.4,clear sky,25.8333,72.2333,Hotel City Square
140,Nishihara,JP,65.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
141,Floresta,BR,73.99,light rain,-8.6011,-38.5686,Hotel Floresta
142,Blackwater,AU,94.75,clear sky,-23.5833,148.8833,Blackwater Motor Inn
143,Koumac,NC,84.16,overcast clouds,-20.5667,164.2833,Le Monitel
144,Chuy,UY,63.5,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
145,Jamame,SO,79.02,overcast clouds,0.0722,42.7506,
146,Arraial Do Cabo,BR,75.52,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
147,Malanje,AO,64.89,overcast clouds,-9.5402,16.341,Hotel Ginga
148,Zahirabad,IN,72.28,few clouds,17.6833,77.6167,PREETHAM WORKING WOMENS HOSTEL
149,Lagos,NG,77.32,few clouds,6.5833,3.75,
150,Bonfim,BR,79.2,overcast clouds,3.0833,-59.95,
151,Indore,IN,66.38,haze,22.7179,75.8333,Capital O 62303 Hotel Apna Palace
152,Bandar-E Lengeh,IR,64.51,clear sky,26.5579,54.8807,کافی نت پارس
153,Atar,MR,69.49,overcast clouds,20.5169,-13.0499,Oumou Elghoura
154,Cabedelo,BR,72.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
155,Rio Grande,BR,66.31,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
156,Pangkah,ID,90.99,overcast clouds,-6.9858,109.1693,Permata Inn Hotel
157,Souillac,MU,85.35,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
158,Juba,SS,72.27,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
