City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,Tuktoyaktuk,69.4541,-133.0374,-18.4,76,75,17.27,CA,2022-01-28 22:15:00
120,Basoko,1.2391,23.616,74.7,69,91,3.15,CD,2022-01-28 22:10:34
121,Mbaiki,3.8678,17.9892,74.32,29,17,2.75,CF,2022-01-28 22:15:00
122,Ciro Marina,39.3732,17.126,46.42,75,100,20.49,IT,2022-01-28 22:15:01
123,Jacareacanga,-6.2222,-57.7528,75.29,96,99,1.45,BR,2022-01-28 22:15:01
124,Kinsale,51.7075,-8.5306,52.23,100,100,11.5,IE,2022-01-28 22:15:02
125,Mirnyy,62.5353,113.9611,-17.77,75,64,8.99,RU,2022-01-28 22:15:02
126,Clyde River,70.4692,-68.5914,-12.66,95,100,28.48,CA,2022-01-28 22:12:11
127,Mitsamiouli,-11.3847,43.2844,80.78,72,93,4.45,KM,2022-01-28 22:15:03
128,Balakliya,49.4627,36.8595,32.83,95,100,10.27,UA,2022-01-28 22:15:09
129,Djibo,14.1022,-1.6306,73.63,18,1,10.51,BF,2022-01-28 22:15:09
130,Bagua Grande,-5.7561,-78.4411,76.89,82,100,0.65,PE,2022-01-28 22:15:10
131,East London,-33.0153,27.9116,69.85,78,58,12.15,ZA,2022-01-28 22:15:10
132,Cape Town,-33.9258,18.4232,67.26,72,0,5.99,ZA,2022-01-28 22:13:32
133,Kapit,2.0167,112.9333,72.93,98,100,0.56,MY,2022-01-28 22:15:10
134,Tambacounda,13.7539,-13.7586,84.25,21,0,4.61,SN,2022-01-28 22:15:11
135,Ust-Nera,64.5667,143.2,-10.14,97,100,1.92,RU,2022-01-28 22:15:11
136,Isangel,-19.55,169.2667,78.44,89,93,17.02,VU,2022-01-28 22:15:12
137,Mar Del Plata,-38.0023,-57.5575,71.62,73,0,20.0,AR,2022-01-28 22:14:32
138,Goderich,43.7501,-81.7165,10.9,66,53,8.05,CA,2022-01-28 22:15:12
139,Sampit,-2.5333,112.95,71.42,97,99,1.5,ID,2022-01-28 22:15:13
140,Turayf,31.6725,38.6637,37.65,93,0,4.61,SA,2022-01-28 22:15:13
141,Luanda,-8.8368,13.2343,78.87,83,69,8.68,AO,2022-01-28 22:14:27
142,Praia Da Vitoria,38.7333,-27.0667,59.25,82,40,12.06,PT,2022-01-28 22:15:14
143,Yar-Sale,66.8333,70.8333,-12.64,100,81,7.16,RU,2022-01-28 22:13:28
144,Alta Floresta,-9.8756,-56.0861,73.35,95,100,1.97,BR,2022-01-28 22:15:14
145,Margate,51.3813,1.3862,47.97,83,99,5.01,GB,2022-01-28 22:15:14
146,Caravelas,-17.7125,-39.2481,78.13,79,5,8.5,BR,2022-01-28 22:15:15
147,Buraydah,26.326,43.975,52.25,35,95,12.17,SA,2022-01-28 22:15:15
148,Merauke,-8.4667,140.3333,81.03,83,100,8.63,ID,2022-01-28 22:15:15
149,Inhambane,-23.865,35.3833,75.96,81,5,6.04,MZ,2022-01-28 22:15:16
150,Vila Velha,-20.3297,-40.2925,80.55,84,40,8.99,BR,2022-01-28 22:15:16
151,Moers,51.45,6.65,44.31,90,75,13.8,DE,2022-01-28 22:15:17
152,Portland,45.5234,-122.6762,52.68,52,40,4.0,US,2022-01-28 22:11:37
153,Bredasdorp,-34.5322,20.0403,62.28,62,64,10.54,ZA,2022-01-28 22:12:02
154,Bambous Virieux,-20.3428,57.7575,77.22,81,23,9.57,MU,2022-01-28 22:13:25
155,Aranda De Duero,41.6704,-3.6892,38.64,39,0,6.04,ES,2022-01-28 22:15:18
156,Severnyy,50.677,36.5532,30.24,100,100,8.95,RU,2022-01-28 22:15:18
157,Coihaique,-45.5752,-72.0662,82.35,18,0,9.22,CL,2022-01-28 22:15:18
158,Kruisfontein,-34.0033,24.7314,62.89,87,12,6.58,ZA,2022-01-28 22:15:19
159,Perwez,50.6167,4.8167,41.2,94,100,12.66,BE,2022-01-28 22:15:19
160,Raudeberg,61.9875,5.1352,43.95,87,100,18.01,NO,2022-01-28 22:11:24
161,Dzaoudzi,-12.7887,45.2699,78.69,89,0,3.44,YT,2022-01-28 22:15:19
162,La Ronge,55.1001,-105.2842,10.65,79,100,11.5,CA,2022-01-28 22:15:20
163,Vallenar,-28.5708,-70.7581,78.49,42,0,8.14,CL,2022-01-28 22:15:20
164,Geraldton,-28.7667,114.6,70.21,83,0,6.91,AU,2022-01-28 22:15:21
165,Rawson,-43.3002,-65.1023,72.27,66,12,18.9,AR,2022-01-28 22:15:21
166,Mayskiy,47.6931,40.1025,33.21,98,100,14.12,RU,2022-01-28 22:15:21
167,Hvide Sande,56.0045,8.1294,43.09,90,100,27.16,DK,2022-01-28 22:15:22
168,Vao,-22.6667,167.4833,77.72,84,100,19.82,NC,2022-01-28 22:15:22
169,Ambulu,-8.345,113.6058,75.42,86,100,2.3,ID,2022-01-28 22:15:22
170,Santa Rosa,14.3122,121.1114,78.78,89,5,3.87,PH,2022-01-28 22:15:23
171,Necochea,-38.5473,-58.7368,72.36,61,0,12.66,AR,2022-01-28 22:12:23
172,Takoradi,4.8845,-1.7554,79.88,81,55,5.19,GH,2022-01-28 22:15:23
173,Tevaitoa,-16.7833,-151.5,81.21,75,9,17.45,PF,2022-01-28 22:15:24
174,Bathsheba,13.2167,-59.5167,77.61,89,40,10.36,BB,2022-01-28 22:15:24
175,Lithakia,37.7167,20.8333,47.59,72,100,2.3,GR,2022-01-28 22:15:29
176,Douglas,41.3,-96.167,36.14,43,0,5.01,US,2022-01-28 22:15:30
177,West Bay,19.3667,-81.4167,82.47,70,20,5.99,KY,2022-01-28 22:15:30
178,Touros,-5.1989,-35.4608,76.1,73,77,5.93,BR,2022-01-28 22:15:31
179,Fram,-26.9833,-55.8833,88.39,39,31,9.75,PY,2022-01-28 22:15:31
180,Zhaotong,27.3167,103.7167,26.85,80,100,7.27,CN,2022-01-28 22:15:31
181,Dunedin,-45.8742,170.5036,64.62,64,100,3.4,NZ,2022-01-28 22:15:32
182,Guerrero Negro,27.9769,-114.0611,72.64,24,31,2.71,MX,2022-01-28 22:12:18
183,Omsukchan,62.5333,155.8,0.99,95,100,7.76,RU,2022-01-28 22:15:32
184,Sakakah,29.9697,40.2064,44.17,52,34,6.44,SA,2022-01-28 22:15:33
185,Aklavik,68.2191,-135.0107,-16.6,76,20,5.75,CA,2022-01-28 22:15:33
186,Sunrise Manor,36.2111,-115.0731,62.82,9,0,18.41,US,2022-01-28 22:15:33
187,Torbay,47.6666,-52.7314,26.58,86,100,10.36,CA,2022-01-28 22:15:34
188,Umm Kaddadah,13.6017,26.6876,55.98,17,7,14.81,SD,2022-01-28 22:15:34
189,Saint George,37.1041,-113.5841,61.27,16,0,5.01,US,2022-01-28 22:13:04
190,Ilulissat,69.2167,-51.1,17.62,49,100,24.16,GL,2022-01-28 22:15:35
191,Verkhnyaya Inta,65.9811,60.3094,2.01,95,100,6.04,RU,2022-01-28 22:15:35
192,Rio Gallegos,-51.6226,-69.2181,68.05,45,0,23.02,AR,2022-01-28 22:15:35
193,Kaduy,59.2,37.15,18.54,96,99,6.24,RU,2022-01-28 22:15:36
194,Kodiak,57.79,-152.4072,27.91,69,100,19.57,US,2022-01-28 22:15:14
195,Gogrial,8.5332,28.1004,71.64,21,0,6.55,SS,2022-01-28 22:15:36
196,Izhma,65.0083,53.9113,5.07,94,99,8.57,RU,2022-01-28 22:15:37
197,Sao Joao Da Barra,-21.6403,-41.0511,77.18,89,47,16.8,BR,2022-01-28 22:15:37
198,Balao,-2.9167,-79.8167,80.51,92,100,3.76,EC,2022-01-28 22:15:38
199,Cumana,10.4635,-64.1775,80.69,80,20,12.66,VE,2022-01-28 22:15:38
200,Diffa,13.3154,12.6113,65.26,29,1,12.48,NE,2022-01-28 22:15:39
201,Monze,-16.2833,27.4833,64.51,98,93,3.83,ZM,2022-01-28 22:15:39
202,Jacqueville,5.2052,-4.4146,82.31,81,63,10.4,CI,2022-01-28 22:15:40
203,Makat,47.6469,53.3463,26.22,95,98,13.69,KZ,2022-01-28 22:15:40
204,Bahia Blanca,-38.7196,-62.2724,88.41,22,0,12.37,AR,2022-01-28 22:12:13
205,Comodoro Rivadavia,-45.8667,-67.5,64.26,82,75,6.91,AR,2022-01-28 22:15:00
206,Iqaluit,63.7506,-68.5145,-14.31,75,100,15.01,CA,2022-01-28 22:15:41
207,Bima,-8.4667,118.7167,76.48,93,100,0.69,ID,2022-01-28 22:15:41
208,Stolbishche,55.6468,49.216,16.25,85,100,8.99,RU,2022-01-28 22:15:41
209,Nome,64.5011,-165.4064,-9.33,64,0,0.0,US,2022-01-28 22:14:51
210,Auki,-8.7676,160.7034,80.13,86,97,7.0,SB,2022-01-28 22:15:42
211,College,64.8569,-147.8028,4.95,56,75,12.66,US,2022-01-28 22:15:43
212,Barinas,8.6226,-70.2075,93.24,33,25,5.75,VE,2022-01-28 22:15:43
213,Santo Domingo,18.5001,-69.9886,82.04,69,20,3.0,DO,2022-01-28 22:13:03
214,Aksarka,66.5606,67.7975,-7.42,98,97,7.58,RU,2022-01-28 22:15:43
215,Halifax,44.6453,-63.5724,34.68,94,100,4.0,CA,2022-01-28 22:13:57
216,Ankazoabo,-22.2833,44.5167,73.26,70,5,2.95,MG,2022-01-28 22:15:44
217,Sur,22.5667,59.5289,69.01,57,0,3.89,OM,2022-01-28 22:15:44
218,Hasaki,35.7333,140.8333,36.0,48,100,6.33,JP,2022-01-28 22:15:45
219,Hofn,64.2539,-15.2082,31.8,53,52,14.03,IS,2022-01-28 22:15:45
220,Vestmannaeyjar,63.4427,-20.2734,33.87,71,100,16.11,IS,2022-01-28 22:15:45
221,Nuuk,64.1835,-51.7216,23.61,93,100,11.5,GL,2022-01-28 22:15:46
222,Suchitoto,13.9381,-89.0278,89.29,28,10,2.51,SV,2022-01-28 22:15:51
223,Gainesville,29.6516,-82.3248,60.51,66,0,9.22,US,2022-01-28 22:15:52
224,Faanui,-16.4833,-151.75,81.45,74,11,16.2,PF,2022-01-28 22:15:52
225,Erzin,36.9559,36.2,36.32,74,29,4.79,TR,2022-01-28 22:15:52
226,Pangnirtung,66.1451,-65.7125,-13.0,77,100,2.3,CA,2022-01-28 22:15:53
227,Mehamn,71.0357,27.8492,31.91,63,100,4.41,NO,2022-01-28 22:15:53
228,Calatayud,41.3535,-1.6432,43.38,52,0,0.94,ES,2022-01-28 22:15:53
229,Kijang,35.2442,129.2139,35.33,28,100,4.61,KR,2022-01-28 22:15:54
230,Nabire,-3.3667,135.4833,76.8,89,99,2.73,ID,2022-01-28 22:15:54
231,Pangody,65.85,74.4859,-9.6,100,92,7.27,RU,2022-01-28 22:15:55
232,Tessalit,20.1986,1.0114,65.86,15,5,10.83,ML,2022-01-28 22:15:55
233,Nantucket,41.2835,-70.0995,34.14,78,100,4.05,US,2022-01-28 22:14:42
234,Dingle,10.9995,122.6711,74.55,90,34,4.27,PH,2022-01-28 22:15:56
235,Broken Hill,-31.95,141.4333,73.08,60,93,11.77,AU,2022-01-28 22:15:56
236,Toamasina,-18.1667,49.3833,73.4,88,40,6.91,MG,2022-01-28 22:15:56
237,Casablanca,33.5928,-7.6192,60.75,68,9,7.92,MA,2022-01-28 22:14:10
238,Matane,48.8286,-67.522,2.95,86,42,7.31,CA,2022-01-28 22:15:57
239,Anadyr,64.75,177.4833,-4.52,83,100,2.24,RU,2022-01-28 22:15:58
240,Kalianget,-7.05,113.9333,78.31,85,100,7.29,ID,2022-01-28 22:15:58
241,Elko,41.0002,-115.5012,41.02,31,0,2.39,US,2022-01-28 22:15:58
242,Saint-Joseph,-21.3667,55.6167,73.78,72,5,6.69,RE,2022-01-28 22:15:59
243,Okulovka,58.4008,33.2908,24.13,98,100,1.39,RU,2022-01-28 22:15:59
244,Baykit,61.67,96.37,-10.82,100,100,1.83,RU,2022-01-28 22:15:59
245,Hervey Bay,-25.2986,152.8535,80.04,69,41,15.95,AU,2022-01-28 22:16:00
246,San Patricio,28.017,-97.5169,61.93,30,73,12.37,US,2022-01-28 22:16:00
247,Luderitz,-26.6481,15.1594,69.06,72,0,28.19,NA,2022-01-28 22:16:01
248,Vostok,46.4856,135.8833,-12.33,99,100,3.69,RU,2022-01-28 22:16:01
249,Pontian Kecil,1.4801,103.3899,77.38,86,99,6.44,MY,2022-01-28 22:16:02
250,Ejido,8.5514,-71.2375,70.83,86,88,3.67,VE,2022-01-28 22:16:03
251,Acapulco,16.8634,-99.8901,84.02,70,0,9.22,MX,2022-01-28 22:11:14
252,Puteyets,65.1716,57.091,3.9,94,100,9.51,RU,2022-01-28 22:16:04
253,Yarmouth,41.7057,-70.2286,34.14,81,100,5.01,US,2022-01-28 22:16:04
254,Pisco,-13.7,-76.2167,75.25,60,20,19.57,PE,2022-01-28 22:16:04
255,Stornoway,58.2093,-6.3865,51.76,93,75,11.01,GB,2022-01-28 22:16:05
256,Marsh Harbour,26.5412,-77.0636,74.35,76,100,21.61,BS,2022-01-28 22:16:05
257,Riohacha,11.5444,-72.9072,80.2,72,45,17.43,CO,2022-01-28 22:16:06
258,Lokosovo,61.1333,74.8167,-9.69,100,90,4.5,RU,2022-01-28 22:16:06
259,Katsuura,35.1333,140.3,42.12,68,100,8.23,JP,2022-01-28 22:13:26
260,Ixtapa,20.7,-105.2,76.23,69,0,13.8,MX,2022-01-28 22:16:07
261,Shubarkuduk,49.1447,56.4872,19.92,89,100,5.53,KZ,2022-01-28 22:16:07
262,Rorvik,64.8621,11.2373,35.58,100,75,13.8,NO,2022-01-28 22:16:08
263,Timizart,36.8,4.2667,44.65,68,1,4.65,DZ,2022-01-28 22:16:08
264,Vila Franca Do Campo,37.7167,-25.4333,57.61,80,40,8.99,PT,2022-01-28 22:15:45
265,Klaksvik,62.2266,-6.589,43.72,82,91,22.17,FO,2022-01-28 22:16:09
266,Tual,-5.6667,132.75,83.93,73,99,13.35,ID,2022-01-28 22:16:09
267,Prince Rupert,54.3161,-130.3201,41.09,94,100,10.51,CA,2022-01-28 22:12:33
268,Havelock,34.8791,-76.9013,42.8,88,100,1.01,US,2022-01-28 22:16:10
269,Kloulklubed,7.0419,134.2556,77.5,81,84,14.03,PW,2022-01-28 22:16:10
270,Bara,10.3744,10.7288,70.95,28,51,12.44,NG,2022-01-28 22:16:16
271,Samagaltay,50.6022,95.0047,-18.27,96,51,2.19,RU,2022-01-28 22:16:16
272,Jalu,29.0331,21.5482,52.25,67,5,7.83,LY,2022-01-28 22:16:17
273,Turukhansk,65.8167,87.9833,-0.96,94,100,12.39,RU,2022-01-28 22:16:17
274,Eureka,40.8021,-124.1637,66.13,53,100,3.33,US,2022-01-28 22:16:18
275,Katete,-0.7818,29.7544,65.5,61,100,3.87,UG,2022-01-28 22:16:18
276,Jumla,29.2747,82.1838,31.17,36,0,5.35,NP,2022-01-28 22:16:18
277,Sawakin,19.1059,37.3321,69.67,64,74,9.82,SD,2022-01-28 22:16:19
278,Cedar City,37.6775,-113.0619,42.4,28,0,3.44,US,2022-01-28 22:16:19
279,Peterongan,-7.5394,112.2792,74.64,93,100,0.98,ID,2022-01-28 22:16:20
280,Alekseyevsk,57.8406,108.3492,-19.48,100,99,1.97,RU,2022-01-28 22:16:20
281,Nueve De Julio,-35.4444,-60.8831,77.72,64,0,5.39,AR,2022-01-28 22:16:20
282,Olafsvik,64.8945,-23.7142,22.77,67,71,19.71,IS,2022-01-28 22:16:21
283,Selenduma,50.9131,106.2406,-19.3,100,40,1.9,RU,2022-01-28 22:16:21
284,Kaitangata,-46.2817,169.8464,63.93,71,91,0.78,NZ,2022-01-28 22:14:35
285,Carnarvon,-24.8667,113.6333,69.87,94,0,5.75,AU,2022-01-28 22:13:17
286,Atambua,-9.1061,124.8925,74.68,90,100,4.65,ID,2022-01-28 22:16:22
287,Esperance,-33.8667,121.9,61.83,83,0,12.97,AU,2022-01-28 22:16:22
288,Port Hedland,-20.3167,118.5667,80.65,74,40,9.22,AU,2022-01-28 22:15:16
289,Buckeye,33.3703,-112.5838,73.98,14,66,16.11,US,2022-01-28 22:13:13
290,Bassano,50.7834,-112.4685,52.3,53,99,14.54,CA,2022-01-28 22:16:23
291,Mahon,39.8885,4.2658,48.76,87,0,6.91,ES,2022-01-28 22:16:24
292,Codrington,-38.2667,141.9667,63.28,77,95,11.59,AU,2022-01-28 22:16:24
293,Vardo,70.3705,31.1107,30.18,74,75,20.71,NO,2022-01-28 22:13:17
